Data Sessão,PL,Autor,Ementa,Status,Votos,Presentes,Fonte,Link YouTube
2025-04-29,065/2025,Luciano Santos,Dispõe sobre a,Em Discussão,N/A,"Amanda, André do Gás, Bruninho Almeida, Cacau Repórter, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim, Érica Marra",video-sMDaK1_7-QM-ytranscript.txt,https://www.youtube.com/watch?v=sMDaK1_7-QM
2025-04-30,065/2025,Luciano Santos,Dispõe sobre a,Não identificado,N/A,"Amanda, Cacau Repórter, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim, Érica Marra",video-lRcIU8VZdIM-ytranscript.txt,https://www.youtube.com/watch?v=lRcIU8VZdIM
2025-04-02,066/2025,Luciano Santos,Dispõe sobre r,Aprovado (Votação Simbólica),N/A,"Amanda, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira",video-q4OpqYXvxh0-ytranscript.txt,https://www.youtube.com/watch?v=q4OpqYXvxh0
2025-04-14,066/2025,Luciano Santos,Dispõe sobre a,Não identificado,N/A,Chamada não identificada,video-Xx4rK1E4rqI-ytranscript.txt,https://www.youtube.com/watch?v=Xx4rK1E4rqI
2025-04-29,066/2025,Luciano Santos,Dispõe sobre a,Em Discussão,N/A,"Amanda, André do Gás, Bruninho Almeida, Cacau Repórter, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim, Érica Marra",video-sMDaK1_7-QM-ytranscript.txt,https://www.youtube.com/watch?v=sMDaK1_7-QM
2025-04-30,066/2025,Luciano Santos,Dispõe sobre a,Não identificado,N/A,"Amanda, Cacau Repórter, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim, Érica Marra",video-lRcIU8VZdIM-ytranscript.txt,https://www.youtube.com/watch?v=lRcIU8VZdIM
2025-04-30,067/2025,Márcia Valentim,Dispõe sobre a,Não identificado,N/A,"Amanda, Cacau Repórter, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim, Érica Marra",video-lRcIU8VZdIM-ytranscript.txt,https://www.youtube.com/watch?v=lRcIU8VZdIM
2025-04-02,070/2025,Dudu do Resgate,Dispõe sobre a,Aprovado (Votação Simbólica),N/A,"Amanda, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira",video-q4OpqYXvxh0-ytranscript.txt,https://www.youtube.com/watch?v=q4OpqYXvxh0
2025-04-14,070/2025,Sandrinho,Dispõe sobre a,Não identificado,N/A,Chamada não identificada,video-Xx4rK1E4rqI-ytranscript.txt,https://www.youtube.com/watch?v=Xx4rK1E4rqI
2025-04-02,071/2025,Dudu do Resgate,Dispõe sobre a,Encaminhado para Comissão,N/A,"Amanda, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira",video-q4OpqYXvxh0-ytranscript.txt,https://www.youtube.com/watch?v=q4OpqYXvxh0
2025-04-14,072/2025,Amanda,Autoriza o,Em Discussão,N/A,Chamada não identificada,video-Xx4rK1E4rqI-ytranscript.txt,https://www.youtube.com/watch?v=Xx4rK1E4rqI
2025-04-08,073/2025,Cacau Repórter,Institui a,Não identificado,N/A,"Amanda, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim",video-faVOBjdAiDs-ytranscript.txt,https://www.youtube.com/watch?v=faVOBjdAiDs
2025-04-15,073/2025,Cacau Repórter,Dispõe sobre d,Não identificado,N/A,"Amanda, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim",video-GWiUIy5IE0Q-ytranscript.txt,https://www.youtube.com/watch?v=GWiUIy5IE0Q
2025-05-06,073/2025,Cacau Repórter,Dispõe sobre c,Aprovado (Votação Simbólica),N/A,Chamada não identificada,video-fAJP0gixuE0-ytranscript.txt,https://www.youtube.com/watch?v=fAJP0gixuE0
2025-04-02,077/2025,Amanda,Dispõe sobre c,Não identificado,N/A,"Amanda, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira",video-q4OpqYXvxh0-ytranscript.txt,https://www.youtube.com/watch?v=q4OpqYXvxh0
2025-06-24,077/2025,Diego Barbosa,Dispõe sobre a,Não identificado,N/A,"Amanda, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim",video-TgmiFJBXdpU-ytranscript.txt,https://www.youtube.com/watch?v=TgmiFJBXdpU
2025-05-29,078/2025,Luciano Santos,Dispõe sobre l,Não identificado,N/A,"Amanda, André do Gás, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim",video-NERWij9Cmqg-ytranscript.txt,https://www.youtube.com/watch?v=NERWij9Cmqg
2025-06-03,078/2025,Luciano Santos,Dispõe sobre l,Aprovado (Votação Simbólica),N/A,Chamada não identificada,video-C7NKvPiA49E-ytranscript.txt,https://www.youtube.com/watch?v=C7NKvPiA49E
2024-04-05,079/2025,Cacau Repórter,Dispõe sobre a,Não identificado,N/A,"Amanda, André do Gás, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim, Érica Marra",video-cXHvCEWqVIU-ytranscript.txt,https://www.youtube.com/watch?v=cXHvCEWqVIU
2025-04-02,079/2025,Amanda,Inclui n,Não identificado,N/A,"Amanda, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira",video-q4OpqYXvxh0-ytranscript.txt,https://www.youtube.com/watch?v=q4OpqYXvxh0
